#{"t_start": 1626984388.574869, "env_id": null}
r,l,t
-36.2667,99,103.264687
-38.399536,99,103.790576
-23.318361,94,104.210364
-24.580412,99,104.629196
-24.61423,99,105.048239
-24.59775,99,105.474282
-24.583334,99,105.897324
-37.81783,99,106.42281
-36.91245,99,106.821479
-36.188534,99,107.225422
-39.95793,99,107.748895
-35.737328,99,108.146817
-23.360998,94,108.562115
-24.590546,99,108.983507
-24.607647,99,109.438238
-24.610846,99,109.876235
-24.60928,99,110.29563
-36.06266,99,110.832108
-39.242523,99,111.236509
-35.8463,99,111.78866
-39.50859,99,112.184485
-38.564007,99,112.58452
-23.359364,94,113.006362
-24.588284,99,113.427102
-24.580433,99,113.849851
-24.565525,99,114.272118
-24.61423,99,114.696701
-42.885365,99,115.136179
-42.654594,99,115.561004
-40.63751,99,115.963557
-37.610477,99,116.361368
-38.68134,99,116.763645
-23.34,94,117.21161
-24.61423,99,117.630534
-24.578386,99,118.048459
-24.590546,99,118.469425
-24.595495,99,118.889802
-40.811455,99,119.43671
-38.99723,99,119.83638
-38.0152,99,120.236382
-35.626392,99,120.641859
-38.17221,99,121.057461
-23.35605,94,121.477322
-24.607647,99,121.897318
-24.61423,99,122.314702
-24.609282,99,122.735066
-24.60433,99,123.152882
-39.81861,99,123.619267
-36.74685,99,124.024092
-41.400623,99,124.428436
-37.905373,99,124.853039
-38.412758,99,125.251171
-23.353727,94,125.66997
-24.609282,99,126.091246
-24.556746,99,126.511513
-24.61423,99,126.932521
-24.58973,99,127.353936
-36.53491,99,127.780787
-37.87061,99,128.181745
-39.37336,99,128.775994
-40.53341,99,129.178963
-39.822506,99,129.572993
-23.359365,94,129.988811
-24.58069,99,130.409807
-24.61423,99,130.829812
-24.60928,99,131.248513
-24.600443,99,131.671298
-47.571213,99,132.255522
-41.370777,99,132.788325
-40.25164,99,133.191282
-32.92324,99,133.591605
-37.092392,99,133.989254
-23.365948,94,134.54721
-24.61423,99,134.965982
